Artist URI(s),Artist Name(s)
"spotify:artist:0du5cEVh5yTK9QJze8zA0C, spotify:artist:1Cs0zKBU1kc0i8ypK3B9ai","Bruno Mars, David Guetta"
spotify:artist:4phr5rAgWhcZtWJu8w8lKv,Swing Out Sister
"spotify:artist:23fqKkggKUBHNkbKtXEls4, spotify:artist:1rw8ZTLnDHd74TWDDukjVi","Kygo, Conrad Sewell"
spotify:artist:4nmrm4zpgJ0RC6aZRSUEjF,Wynter Gordon
"spotify:artist:0aIOdrjH5s3hJqxmKoAEUg, spotify:artist:7Akz0poR4eUgNM0ciCWqIs, spotify:artist:5qTjeXw33F5LHCKVzwi8WK","Richard O'Brien, Patricia Quinn, Nell Campbell"
"spotify:artist:3fMbdgg4jU18AjLCKBhRSm, spotify:artist:4qwGe91Bz9K2T8jXTZ815W","Michael Jackson, Janet Jackson"
spotify:artist:1nCht41FuMcmG1FIoyjWCH,Taxiride
spotify:artist:6yrBBtqX2gKCHCrZOYBDrB,"Peter\, Paul and Mary"
spotify:artist:04gDigrS5kc9YWfZHwBETP,Maroon 5
spotify:artist:53XhwfbYqKCa1cC15pYq2q,Imagine Dragons
spotify:artist:7xTcuBOIAAIGDOSvwYFPzk,Daniel Powter
spotify:artist:1QxaPWG1POM8Ul6WwsHq4y,John Farnham
spotify:artist:4Rxn7Im3LGfyRkY2FlHhWi,Nick Jonas
"spotify:artist:6XpaIBNiVzIetEPCWDvAFP, spotify:artist:4iHNK0tOyZPYnBU7nGAgpQ","Whitney Houston, Mariah Carey"
"spotify:artist:60vX3zLcdKRXvKLITVh5Df, spotify:artist:64ccradw8gAQn9gMQZmEha","Melanie C, Lisa ""Left Eye"" Lopes"
spotify:artist:3AuMNF8rQAKOzjYppFNAoB,Kelly Rowland
spotify:artist:3AQRLZ9PuTAozP28Skbq8V,The Script
spotify:artist:7v4imS0moSyGdXyLgVTIV7,Nat King Cole
spotify:artist:6LBCQo20ri3tsvbsWWLmr6,Powderfinger
spotify:artist:6lHL3ubAMgSasKjNqKb8HF,Mýa
spotify:artist:5ZsFI1h6hIdQRw2ti0hz81,ZAYN
spotify:artist:6lHC2EQMEMZiEmSfFloarn,Peter And Gordon
"spotify:artist:738wLrAtLtCtFOLvQBXOXp, spotify:artist:0bdfiayQAKewqEvaU6rXCv, spotify:artist:540vIaP2JwjQb9dm3aArA4","Major Lazer, MØ, DJ Snake"
spotify:artist:0zOcE3mg9nS6l3yxt1Y0bK,The Fray
"spotify:artist:7zYGAXxAaq15C9eM29M8Fj, spotify:artist:6D9xBdOOyGHqOam9OShAWl","Eternal, Bebe Winans"
spotify:artist:1GkiKu2FJFSBrXSL8wKFzy,Jerry Harrison
spotify:artist:4VnomLtKTm9Ahe1tZfmZju,Jackie Wilson
spotify:artist:43ZHCT0cAZBISjO8DG9PnE,Elvis Presley
"spotify:artist:1bj5GrcLom5gZFF5t949Xl, spotify:artist:4GLJPBj5Cdr9AgLKvLWM4n","Martin Solveig, Dragonette"
spotify:artist:5Pb27ujIyYb33zBqVysBkj,RÜFÜS DU SOL
spotify:artist:7jVv8c5Fj3E9VhNjxT4snq,Lil Nas X
"spotify:artist:5Ip2ecnyGpNyZvPuuYU8Ai, spotify:artist:7bIYFyhnGYw8A4kUsGtQl0","Dzeko & Torres, Sarah McLeod"
spotify:artist:4AK6F7OLvEQ5QYCBNiQWHq,One Direction
spotify:artist:0uUNzXylqsZdmFDwdxaP1V,B.J. Thomas
spotify:artist:1k5aZWIOUbUfKcnMxtEivJ,Jimmy Barnes
spotify:artist:0Y5tJX1MQlPlqiwlOH1tJY,Travis Scott
spotify:artist:6LqNN22kT3074XbTVUrhzX,Kesha
spotify:artist:6VuMaDnrHyPL1p4EHjYLi7,Charlie Puth
spotify:artist:1bs7HoMkSyQwcobCpE9KpN,The Mamas & The Papas
spotify:artist:4Ctw4152leMyJKFOung1X8,Craig McLachlan;Check 1-2
spotify:artist:7j9PMegEgVN1fNp8NZXNCI,The Edgar Winter Group
spotify:artist:2TL8gYTNgD6nXkyuUdDrMg,Jasmine Thompson
"spotify:artist:6RQkaOWddQmiLLJqSgnTbm, spotify:artist:0YeIluqMsCUwn5NC3TG2iQ, spotify:artist:2Af07b1sTnXHHSdCqdLSfy","Chaka Demus & Pliers, Jack Radics, The Taxi Gang"
spotify:artist:1EVWYRr2obCRDoSoD6KSuM,Havana Brown
spotify:artist:5lPsVvHVDr6R5mDxRUXdOs,A1
spotify:artist:6kACVPfCOnqzgfEF5ryl0x,Johnny Cash
"spotify:artist:3PhoLpVuITZKcymswpck5b, spotify:artist:4vjGlQWexbru6aOUCLTVir","Elton John, Kiki Dee"
spotify:artist:2ycnb8Er79LoH2AsR5ldjh,Pet Shop Boys
spotify:artist:7slfeZO9LsJbWgpkIoXBUJ,Ricky Martin
spotify:artist:5kPsbSWuadXAb2wheoVRkf,John Williamson
spotify:artist:2KisNXWizbrJVoif4Lt2u5,Boom Crash Opera
spotify:artist:6sOP8RUFR0q0nBOBOXGdBK,Melanie
spotify:artist:79mvAIaa8bVyObPdeqs2i3,The Belle Stars
spotify:artist:7CajNmpbOovFoOoasH2HaY,Calvin Harris
spotify:artist:3fMbdgg4jU18AjLCKBhRSm,Michael Jackson
spotify:artist:3QSQFmccmX81fWCUSPTS7y,Dean Lewis
"spotify:artist:23zg3TcAtWQy7J6upgbUnj, spotify:artist:7sfl4Xt5KmfyDs2T3SVSMK, spotify:artist:3ipn9JLAPI5GUEo4y4jcoi","Usher, Lil Jon, Ludacris"
spotify:artist:4gzpq5DPGxSnKTe4SA8HAU,Coldplay
spotify:artist:0kObWap02DEg9EAJ3PBxzf,Starship
spotify:artist:3mIj9lX2MWuHmhNCA7LSCW,The 1975
spotify:artist:4RVnAU35WRWra6OZ3CbbMA,Kylie Minogue
spotify:artist:3CDKmzJu6uwEGnPLLZffpD,Frankie Valli
spotify:artist:45NevEaV0GyRopWoADDPr2,Sherbet
spotify:artist:2M93P87MDGek6uzg7Jn7he,Anita Bryant
spotify:artist:1UUYAQ9LiRsZF0ZukQNWXM,The 5th Dimension
spotify:artist:2yTUYhIf8fxptTIy3KLuJD,Mike + The Mechanics
spotify:artist:0LcJLqbBmaGUft1e9Mm8HV,ABBA
spotify:artist:5fikk4h5qbEebqK2Fc6e48,En Vogue
spotify:artist:1zTAQ6zkGz2L2i6lfR30EX,The Presets
spotify:artist:4tX2TplrkIP4v05BNC903e,Tom Petty and the Heartbreakers
"spotify:artist:46gyXjRIvN1NL1eCB8GBxo, spotify:artist:6S2OmqARrzebs0tKUEyXyp, spotify:artist:2cFrymmkijnjDg9SS92EPM","All Time Low, Demi Lovato, blackbear"
spotify:artist:5ND0mGcL9SKSjWIjPd0xIb,Bowling For Soup
"spotify:artist:085pc2PYOi8bGKj0PNjekA, spotify:artist:1uNFoZAHBGtllmzznpCI3s","will.i.am, Justin Bieber"
spotify:artist:7bu3H8JO7d0UbMoVzbo70s,The Cure
spotify:artist:7xqqOKmWS7KYlorTLXFMiI,Tokyo Ghetto Pussy
spotify:artist:6GDSMFwAQBfnrrZf981Yji,The Browns
spotify:artist:3Ngh2zDBRPEriyxQDAMKd1,Matchbox Twenty
spotify:artist:7fRw4ouudxR1jHgyrTIKuY,Stan Walker
spotify:artist:0543y7yrvny4KymoaneT4W,Peter Frampton
spotify:artist:5IH6FPUwQTxPSXurCrcIov,Alec Benjamin
