Artist URI(s),Artist Name(s)
spotify:artist:5ZfzzHE7rxONfoksJsLXrX,Bucks Fizz
spotify:artist:5Rl15oVamLq7FbSb0NNBNy,5 Seconds of Summer
spotify:artist:3uPSzsWGSzQZfihkPkAvfN,The Mixtures
spotify:artist:3CDzOX9D1buMRHeTNFHXMm,GANGgajang
"spotify:artist:26VFTg2z8YR0cCuwLzESi2, spotify:artist:0c173mlxpT3dSFRgMO8XPh, spotify:artist:2ExGrw6XpbtUAJHTLtUXUD","Halsey, Big Sean, Stefflon Don"
spotify:artist:6msUfcWG8ncvGbWfDUeHwD,Player 1
spotify:artist:5sHPYevv4ykaH79HIHqBDP,Yothu Yindi
"spotify:artist:2o5jDhtHVPhrJdv3cEQ99Z, spotify:artist:5vQfv3s2Z2SRdPZKr82ABw, spotify:artist:0bdJZl7TDeiymDYzMJnVh2, spotify:artist:246dkjvS1zLTtiykXe5h60","Tiësto, Dzeko, Preme, Post Malone"
spotify:artist:4IdvJZeciaa37wYr2qBpjm,Cliff Richard & The Shadows
"spotify:artist:4QQgXkCYTt3BlENzhyNETg, spotify:artist:64CuUOOirKmdAYLQSfaOyr","Earth\, Wind & Fire, The Emotions"
spotify:artist:52VfGq3cCGwYsc5UGObOb0,Bob The Builder
"spotify:artist:4yiQZ8tQPux8cPriYMWUFP, spotify:artist:4d3yvTptO48nOYTPBcPFZC","Gwen Stefani, Eve"
spotify:artist:4M0DLz8te9Q1lNIXBBwvfG,Karmin
"spotify:artist:6MF9fzBmfXghAz953czmBC, spotify:artist:0jnsk9HBra6NMjO2oANoPY","Taio Cruz, Flo Rida"
spotify:artist:3TiISqKS6ESlMQ4WFfZJw2,Johnny Rivers
"spotify:artist:23fqKkggKUBHNkbKtXEls4, spotify:artist:1QDrz3DMMaz3TB1cm0PGDu","Kygo, Justin Jesso"
spotify:artist:01Ppu7N8uYJI8SAONo2YZA,Melissa Etheridge
"spotify:artist:0vEsuISMWAKNctLlUAhSZC, spotify:artist:5ILrArfIV0tMURcHJN8Q07","Counting Crows, Vanessa Carlton"
spotify:artist:2DnqqkzzDKm3vAoyHtn8So,Uncle Kracker
spotify:artist:1TqQi97nqeiuOJrIFv5Sw0,Semisonic
spotify:artist:0W498bDDNlJIrYMKXdpLHA,Roberta Flack
spotify:artist:0FFuvdY7fuiuTmHN9unYoz,Paul Carrack
spotify:artist:4C3uGP8vRDzxrhJxZiOjTe,Tiffany
spotify:artist:1CzWsbK2Rdn0RlWYZGgnAm,Arrow
spotify:artist:7ASucWaI33cepJbo74Hlo0,E^ST
"spotify:artist:3D6cosC5ZOLCpRxt6T3XS7, spotify:artist:56M3ygaDkvVGUlMTDm0LAV","The Kite String Tangle, Bridgette Amofah"
spotify:artist:29r633A8MJhwlkoljEf1L0,Belle Epoque
spotify:artist:0DxeaLnv6SyYk2DOqkLO8c,MAGIC!
spotify:artist:7jmTilWYlKOuavFfmQAcu6,Barbra Streisand
spotify:artist:7hqZBHSgDs1odG9aupMzEI,Big Audio Dynamite
spotify:artist:1McMsnEElThX1knmY4oliG,Olivia Rodrigo
spotify:artist:4UXqAaa6dQYAk18Lv7PEgX,Fall Out Boy
spotify:artist:4WFTfNjxQYskBioYk39r9n,Billy Joe Royal
spotify:artist:40f70JVK5anPhD3fGoXkra,John Rowles
spotify:artist:4S9EykWXhStSc15wEx8QFK,Céline Dion
"spotify:artist:3q7HBObVc0L8jNeTe5Gofh, spotify:artist:5YBSzuCs7WaFKNr7Bky0Uf","50 Cent, Olivia"
spotify:artist:5nGIFgo0shDenQYSE0Sn7c,Evanescence
spotify:artist:5M0fvL9GMc2zTuIIQwresj,Vanessa Amorosi
"spotify:artist:4AXX8UN3xaPrxHSqrgE3Ta, spotify:artist:2rC7eyIFrDIYnFsxsbSxF5, spotify:artist:2XXVHRAup4051ZzWvhouvD, spotify:artist:0bdiA8CQ7jEBx4KmQOvr9z","Reel 2 Real, The Mad Stuntman, Alex Natale DJ, Visnadi"
spotify:artist:5uEeqYFuIChoWKy34jp8xE,Brando
spotify:artist:40PAEtNxO98lBeQHCza9vA,Marv Johnson
spotify:artist:4UD9XOagGdElo7BpVzLltZ,New Vaudeville Band
spotify:artist:0id62QV2SZZfvBn9xpmuCl,Aloe Blacc
spotify:artist:6uothxMWeLWIhsGeF7cyo4,Enya
"spotify:artist:00FQb4jTyendYWaN8pK0wa, spotify:artist:4Wjf8diP59VmPG7fi4y724, spotify:artist:0ofxTUijAHvkf6wKyPEBFa","Lana Del Rey, Cedric Gervais, Carlos Cid"
"spotify:artist:5PjekOABtfU2Kwo0AHVmci, spotify:artist:2AQjGvtT0pFYfxR3neFcvz","Guy Sebastian, Jordin Sparks"
spotify:artist:191Koh7PSIi28IrGAGoINO,Reef
spotify:artist:3EBRANWwnViQuBrImN61Z1,Pixie Lott
spotify:artist:78SHxLdtysAXgywQ4vE0Oa,Bush
spotify:artist:5SHQUMAmEK5KmuSb0aDvsn,Hole
"spotify:artist:07YZf4WDAMNwqr4jfgOZ8y, spotify:artist:17lzZA2AlOHwCwFALHttmp","Jason Derulo, 2 Chainz"
"spotify:artist:5K4W6rqBFWDnAN6FQUkS6x, spotify:artist:4bYPcJP5jwMhSivRcqie2n","Kanye West, Adam Levine"
spotify:artist:0zg9mF9dX2knvdTKnL22T1,Freestylers
spotify:artist:6prmLEyn4LfHlD9NnXWlf7,Adam Lambert
spotify:artist:7f5Zgnp2spUuuzKplmRkt7,Lost Frequencies
"spotify:artist:6vWDO969PvNqNYHIOW5v0m, spotify:artist:45a6gCQWq61lIUDmr1tKuO, spotify:artist:0st5vgzw9XkH5ALJiUM1lE","Beyoncé, Bun B, Slim Thug"
"spotify:artist:23zg3TcAtWQy7J6upgbUnj, spotify:artist:4yBK75WVCQXej1p04GWqxH","Usher, Jeezy"
spotify:artist:0gDg7FEsF4Y1jWddJJgcn4,The Rembrandts
spotify:artist:2ttm3uT0N1RN7vwKv1pQgh,Brook Benton
spotify:artist:2vRfKzjQYJQd67X8x49MOh,Real McCoy
spotify:artist:29kkCKKGXheHuoO829FxWK,Boston
spotify:artist:48kXmrNGCBMAz7N8x1J2na,Eurogliders
spotify:artist:6cjSmkVvMvyE6tCAo1M9Is,Zhané
"spotify:artist:0uGk2czvcpWQA383Im6ajf, spotify:artist:0CEK8AzyeD5ZUdUloB6yQV, spotify:artist:7DMveApC7UnC2NPfPvlHSU","Maggie Lindemann, CADE, Cheat Codes"
spotify:artist:0M4w6wFmaVFmP4lIndnEU5,Slim Dusty
spotify:artist:7wqtxqI3eo7Gn1P7SpP6cQ,Salt-N-Pepa
"spotify:artist:0jYKX08u1XxmHrl5TdM2QZ, spotify:artist:3nlHsNqwCSvT988ZfSW1Yh","Lulu, Ronan Keating"
spotify:artist:06kr5yNAM2rOf4DXemM8fl,Matt Monro
"spotify:artist:738wLrAtLtCtFOLvQBXOXp, spotify:artist:4VZY0nxYMSNotbS7WjNVQy, spotify:artist:374sWpAJsbZckf98df2jJJ","Major Lazer, Nyla, Fuse ODG"
"spotify:artist:6eUKZXaKkcviH0Ku9w2n3V, spotify:artist:4hOb2WdQMQWyG6RQAhR7iE","Ed Sheeran, Budjerah"
spotify:artist:3Bd1cgCjtCI32PYvDC3ynO,London Grammar
spotify:artist:4ajzEXRIqw9kvEQQR4femH,Anthony Callea
spotify:artist:20s0P9QLxGqKuCsGwFsp7w,Mario
"spotify:artist:35U9lQaRWSQISxQAB94Meo, spotify:artist:4Fgf6RvuWpiwDXSE7Vammx","America, George Martin"
spotify:artist:7FIoB5PHdrMZVC3q2HE5MS,George Harrison
spotify:artist:1NRzxuPpdGushT8YmF5NAa,Edison Lighthouse
spotify:artist:3GBPw9NK25X1Wt2OUvOwY3,Jack Johnson
spotify:artist:3RhQ4wZ4x4RC2oY2QeLRad,Partners In Kryme
spotify:artist:6vytZ677lz4LzCrUDcDokM,Blu Cantrell
spotify:artist:27T030eWyCQRmDyuvr1kxY,Scorpions
spotify:artist:6csA2rxNLkQJXeEa7lyGXn,Mis-Teeq
spotify:artist:656TGMl6uRQSQlFRVCKt7w,Jody Miller
spotify:artist:20JZFwl6HVl6yg8a4H3ZqK,Panic! At The Disco
spotify:artist:2JmtD7WjLBb2Ev8OcOvC6d,Rojdar
spotify:artist:2JQme5IJ3U7SRVQqHGN2fG,Shannon Noll
spotify:artist:1zuJe6b1roixEKMOtyrEak,Tina Turner
spotify:artist:6HD2mo0Gz8wd8IbOXYwUfN,Daniel Merriweather
"spotify:artist:0e1jJi30tgwjWTSrt6CJZT, spotify:artist:2W96jIq7YDNjCi3iHsx7vm, spotify:artist:2iMIX1m4cwkuqKJbBIdwnt, spotify:artist:17XXKfRBMCWvLrqGoNkJXm","Eddie Miller, Robert Yount, Dub Williams, Engelbert Humperdinck"
spotify:artist:5MYBNUKoFf9LAg30ByaBli,Andy Kim
spotify:artist:762310PdDnwsDxAQxzQkfX,Depeche Mode
spotify:artist:6imyM8T1Xbe8v2iZe41dR7,Haircut 100
spotify:artist:3GHovBcEWpbnwCZDPF9GpM,Andrea True Connection
spotify:artist:6dgwEwnK0YtDfS9XhRwBTG,Broken Bells
"spotify:artist:6vXTefBL93Dj5IqAWq6OTv, spotify:artist:4iHNK0tOyZPYnBU7nGAgpQ, spotify:artist:1zNqQNIdeOUZHb8zbZRFMX","French Montana, Mariah Carey, Swae Lee"
spotify:artist:1w5Kfo2jwwIPruYS2UWh56,Pearl Jam
"spotify:artist:5lKZWd6HiSCLfnDGrq9RAm, spotify:artist:1vCWHaC5f2uS3yhpwWbIA6","Leona Lewis, Avicii"
spotify:artist:6ssXMmc5EOUrauZxirM910,White Lies
spotify:artist:2eFkm34OMSYRUwP4RAtXaT,David Soul
spotify:artist:5ypxebeHEIXjMtJb17uJlI,Jet
spotify:artist:2pycVt1qR9u8bKdb4oLI98,Paul & Paula
spotify:artist:02Xpf8IlAGeelWAQZP33kQ,Boy Meets Girl
spotify:artist:6FBDaR13swtiWwGhX1WQsP,blink-182
spotify:artist:2rblp9fJo16ZPTcKDtlmKW,MC Hammer
"spotify:artist:60d24wfXkVzDSfLS6hyCjZ, spotify:artist:7okSU80WTrn4LXlyXYbX3P","Martin Garrix, Clinton Kane"
spotify:artist:3KT9AeoTUPHKnntwQxlP9S,Young Divas
"spotify:artist:4GvEc3ANtPPjt1ZJllr5Zl, spotify:artist:4nDoRrQiYLoBzwC5BhVJzF","Bazzi, Camila Cabello"
spotify:artist:2V0ryJRGIdudWKl27c806m,Randy & The Rainbows
spotify:artist:3fRV5Jo7lNKhRSx4C3sLMZ,Fischer-Z
spotify:artist:1fa0cOhromAZdq2xRA4vv8,Simply Red
spotify:artist:4sj6D0zlMOl25nprDJBiU9,Andy Williams
spotify:artist:0esD7V3K0DRse43S4l0bP0,Barry Crocker
spotify:artist:3Yl4nkmEa8BSuGWbwhdLDq,G.R.L.
spotify:artist:5wPoxI5si3eJsYYwyXV4Wi,N.E.R.D
spotify:artist:6kBjAFKyd0he7LiA5GQ3Gz,Aqua
spotify:artist:4FZ3j1oH43e7cukCALsCwf,Jack White
spotify:artist:7qQJQ3YtcGlqaLg5tcypN2,Chubby Checker
spotify:artist:7C4sUpWGlTy7IANjruj02I,Peter Gabriel
spotify:artist:1CcEgi464SWZsKY5579u7z,Patrick Hernandez
spotify:artist:33W1pnW9zScZtYTnAoWnOT,Mr. Probz
spotify:artist:7m60UAnbgFFNuJbmS6OxTk,Sister Hazel
"spotify:artist:3tQx1LPXbsYjE9VwN1Peaa, spotify:artist:02kJSzxNuaWGqwubyUba0Z","Marc E. Bassy, G-Eazy"
spotify:artist:3LUkBWNeAcbLju5dL8poH3,Wayne Fontana
spotify:artist:4npEfmQ6YuiwW1GpUmaq3F,Ava Max
spotify:artist:3M5aUsJmembbwKbUx434lS,Daniel Boone
spotify:artist:5WnGWf1AygeH76ZNUXU3b0,Sounds Incorporated
spotify:artist:5a6nqHiBS9v3CxYOs7ttET,TQ
"spotify:artist:3wYyutjgII8LJVVOLrGI0D, spotify:artist:4r7JUeiYy24L7BuzCq9EjR","Buddy Holly, The Crickets"
spotify:artist:62sPt3fswraiEPnKQpAbdE,Bobby Brown
spotify:artist:4v0Hh2bdIAJnaUqAOipfYs,James Reyne
spotify:artist:4nsuck0htFQjVl6OCKVzRb,Breakfast Club
spotify:artist:1VKy7hIBFmlBnfKPgPkuLH,The Cuff Links
"spotify:artist:23fqKkggKUBHNkbKtXEls4, spotify:artist:48sLioddyaXkuhyHXSkpsB","Kygo, Parson James"
"spotify:artist:06HL4z0CvFAxyc27GXpf02, spotify:artist:6eUKZXaKkcviH0Ku9w2n3V","Taylor Swift, Ed Sheeran"
spotify:artist:25ou7Y6W7L1fcMoCZMbf86,Birds Of Tokyo
spotify:artist:7mXnN0kZ67wigGTn1OuNkD,Len Barry
spotify:artist:23IZADrJHPStZ6aMxJVq3s,Jarryd James
spotify:artist:1xBARhKI09ZTmeePVDWMCf,Rotimi
spotify:artist:3rIZMv9rysU7JkLzEaC5Jp,Snow Patrol
"spotify:artist:6sOP8RUFR0q0nBOBOXGdBK, spotify:artist:0lEzfSVcNRLDUKdI7fBDD3","Melanie, The Edwin Hawkins Singers"
spotify:artist:4Y7tXHSEejGu1vQ9bwDdXW,Fatboy Slim
"spotify:artist:0u2FHSq3ln94y5Q57xazwf, spotify:artist:1KCSPY1glIKqW2TotWuXOR","Keith Urban, P!nk"
spotify:artist:5ujrA1eZLDHR7yQ6FZa2qA,Vera Blue
"spotify:artist:72y3ZI95ctkQC2O4mjBaU3, spotify:artist:3XDOHFgZoRPljL3nSeYJtJ","Shai, Bill Appleberry"
spotify:artist:6UE7nl9mha6s8z0wFQFIZ2,Robyn
"spotify:artist:0fA0VVWsXO9YnASrzqfmYu, spotify:artist:3o1cwVQfiDWafhYA02k13C","Kid Cudi, Crookers"
spotify:artist:5LmYIx9kSWBJOWbP4xAxb1,Alexis Jordan
spotify:artist:6YCM9JwkqdEFQSzztmh4Kb,Navos
spotify:artist:479Yp6DvyXoIaCssAxB4QR,Murray Head
spotify:artist:7E5taE9LniGvMzEHpiOupV,The Jimmy Castor Bunch
spotify:artist:2ZmmVo9SlM8XJH97UWEu7l,Amy Meredith
spotify:artist:5JsdVATHNPE0XdMFMRoSuf,Texas
spotify:artist:6fzQ81ouajOEFqCIB9VwrS,Morgan Evans
"spotify:artist:0iEtIxbK0KxaSlF7G42ZOp, spotify:artist:1Xyo4u8uXC1ZmMpatF05PJ, spotify:artist:1URnnhqYAYcrqrcwql10ft","Metro Boomin, The Weeknd, 21 Savage"
"spotify:artist:0repuWOrxA3wK6vdP99hoZ, spotify:artist:1aXgASMjQp7OqVFWYE4RKZ","Shab, Martinez Twins"
"spotify:artist:4Y7tXHSEejGu1vQ9bwDdXW, spotify:artist:5K0rbdBrs2tNXe5LeWMATT","Fatboy Slim, Bootsy Collins"
"spotify:artist:60d24wfXkVzDSfLS6hyCjZ, spotify:artist:64M6ah0SkkRsnPGtGiRAbb","Martin Garrix, Bebe Rexha"
spotify:artist:6TLwl6BCLZ5D1jwn4l2KGh,Dick & Dee Dee
spotify:artist:6L9bfTvOEA9BOJEIBhU4ln,Jebediah
spotify:artist:2KsP6tYLJlTBvSUxnwlVWa,Mike Posner
spotify:artist:711MCceyCBcFnzjGY4Q7Un,AC/DC
spotify:artist:6kvkcogluXUBXdQzJy6Alw,Leah Haywood
spotify:artist:2nvKpWcP8etYTq4JrRiUiy,Cliff Richard
spotify:artist:06BtvGNmAV9RjsbXPTTcXb,Fiddler's Dram
spotify:artist:0RaO9p4AomXaVUXzV8SPVW,Faker
"spotify:artist:77zlytAFjPFjUKda8TNIDY, spotify:artist:3JxCEqL9zjKnDJgUhRuRJD","Youssou N'Dour, Neneh Cherry"
"spotify:artist:04gDigrS5kc9YWfZHwBETP, spotify:artist:2YZyLoL8N0Wb9xBt1NhZWg","Maroon 5, Kendrick Lamar"
spotify:artist:7sfgqEdoeBTjd8lQsPT3Cy,Emeli Sandé
"spotify:artist:2HcwFjNelS49kFbfvMxQYw, spotify:artist:0ExYzTb7raTAfsXPtiI5vq","Robbie Williams, Nicole Kidman"
spotify:artist:6nDLku5uL3ou60kvCGZorh,Bloodhound Gang
spotify:artist:0UKfenbZb15sqhfPC6zbt3,DEVO
spotify:artist:0tkKwWigaADLYB9HdFCjYo,The Irish Rovers
spotify:artist:0PHiin6bQggP8WzI7LgTtr,Aston Merrygold
spotify:artist:06y1hH4hu3rcTUXHJevPCf,Ben Lee
spotify:artist:0PFtn5NtBbbUNbU9EAmIWF,TOTO
"spotify:artist:6TIYQ3jFPwQSRmorSezPxX, spotify:artist:5p7f24Rk5HkUZsaS3BLG5F","Machine Gun Kelly, Hailee Steinfeld"
spotify:artist:4L51owxaf23ElmXl3ZkvNC,Johnny Ruffo
spotify:artist:1fTCSmuwhEaa6J6Hjq8xmi,Jordie Ireland
spotify:artist:0LmgCb9GDONh4eFlyzIhUE,Johnny Young & Kompany
spotify:artist:2MyNAoQL07EABerr6yhoT4,Leif Garrett
"spotify:artist:6Lgfto5TiWLnHMpERQXlB9, spotify:artist:0SNWoGaDlrCompmg9rXeNq","A.B. Original, Paul Kelly"
"spotify:artist:5p7f24Rk5HkUZsaS3BLG5F, spotify:artist:4lDBihdpMlOalxy1jkUbPl, spotify:artist:2qxJFvFYMEDqd7ui6kSAcq","Hailee Steinfeld, Grey, Zedd"
spotify:artist:1y20PpXw0yeuJ1avCD0Ob9,Eamon
"spotify:artist:2AOZDcU573oPnb1DcROcs6, spotify:artist:0dUM8sw9YnXAq9s4pcjvQT","Ethan Sak, Liz Becker"
spotify:artist:5AEG63ajney2BoDXi0Vb84,Bad Company
spotify:artist:0LbLWjaweRbO4FDKYlbfNt,Kaiser Chiefs
spotify:artist:2oX42qP5ineK3hrhBECLmj,Andy Grammer
spotify:artist:5b2OzvLaL6nyxw5pbVbSdy,Skeeter Davis
spotify:artist:5GtMEZEeFFsuHY8ad4kOxv,Seal
"spotify:artist:1yxSLGMDHlW21z4YXirZDS, spotify:artist:0EmeFodog0BfCgMzAIvKQp","Black Eyed Peas, Shakira"
spotify:artist:0tTLmQvo0tn8vYlpJpA2no,Thirsty Merc
spotify:artist:3IJFGnsUboabVEbJz1UR91,Noiseworks
"spotify:artist:7qmpXeNz2ojlMl2EEfkeLs, spotify:artist:38PzLQE4GW8o7A18oGhi0x","Nicky Youre, dazy"
spotify:artist:1zxDewzd2j1ZdSBGaYcr0y,The Outfield
"spotify:artist:2lJ6K4PTrrweXhRiqh1CZE, spotify:artist:1JPZHb1qziDJ05n0a1OvfW","SUPER-Hi, NEEKA"
"spotify:artist:5MouCg6ta7zAxsfMEbc1uh, spotify:artist:4bL2B6hmLlMWnUEZnorEtG","OMI, Felix Jaehn"
spotify:artist:13amDjKz680LMirXzQEqU5,Patsy Gallant
spotify:artist:4qwGe91Bz9K2T8jXTZ815W,Janet Jackson
"spotify:artist:5ndkK3dpZLKtBklKjxNQwT, spotify:artist:4LAz9VRX8Nat9kvIzgkg2v","B.o.B, Rivers Cuomo"
"spotify:artist:6M2wZ9GZgrQXHCFfjv46we, spotify:artist:3QVolfxko2UyCOtexhVTli","Dua Lipa, Angèle"
spotify:artist:5vBSrE1xujD2FXYRarbAXc,Years & Years
"spotify:artist:4TH4BHy0LdBi3dpBW4P2UX, spotify:artist:4bYPcJP5jwMhSivRcqie2n","R. City, Adam Levine"
spotify:artist:5HH4t1HKVKg1hgcWCWOWSz,Natalie Gauci
spotify:artist:0Ya43ZKWHTKkAbkoJJkwIB,The Wombats
spotify:artist:5TDVKqW9uhqGjwwwKGuma4,All Saints
spotify:artist:23zg3TcAtWQy7J6upgbUnj,Usher
"spotify:artist:4GCWiBjgcpUciB55iT5bel, spotify:artist:0Y8KmFkKOgJybpVobn1onU","Passengers, Luciano Pavarotti"
spotify:artist:6EHdKd4m8DzNf9NhVeJSVI,Ohio Express
spotify:artist:1XgFuvRd7r5g0h844A5ZUQ,Take That
"spotify:artist:3hv9jJF3adDNsBSIQDqcjp, spotify:artist:5YGY8feqx7naU7z4HrwZM6","Mark Ronson, Miley Cyrus"
spotify:artist:1P1cU0pEn5m662FzVtNwbx,Moodbay
spotify:artist:4SA20ppwlluQj8vOWyUc0F,Grayson Hugh
spotify:artist:2AFkXuExrw9XcAtzFARn8e,MN8
"spotify:artist:64KEffDW9EtZ1y2vBYgq8T, spotify:artist:5rGrDvrLOV2VV8SCFVGWlj, spotify:artist:23zg3TcAtWQy7J6upgbUnj","Marshmello, Imanbek, Usher"
spotify:artist:1lZvg4fNAqHoj6I9N8naBM,The Presidents Of The United States Of America
"spotify:artist:2iXXA1naUkMud365RRLWIf, spotify:artist:7xj63qP7YjGeufSdMcH507","Zephyr Alabama, Abishi Taylor"
spotify:artist:2VIoWte1HPDbZ2WqHd2La7,The Turtles
spotify:artist:0LWBqstmNeW3r6kOswfZ1J,Matt B
spotify:artist:2ltpcCK86foogli20z9raq,The Royal Guardsmen
spotify:artist:7MhMgCo0Bl0Kukl93PZbYS,Blur
"spotify:artist:12PSlydMSjEHzSCj9X5qv7, spotify:artist:3sMYEBy0CZFxedcnm9i9hf","Baby Bash, Frankie J"
spotify:artist:0ThrQemMA2B8xxusTUl8IM,Kandi
spotify:artist:1LFKKuzn302wp15dYH28id,Tammy Wynette
spotify:artist:08ct2eZF5lUPdJpHwNKWof,Hootie & The Blowfish
spotify:artist:0vEsuISMWAKNctLlUAhSZC,Counting Crows
"spotify:artist:6wPhSqRtPu1UhRCDX5yaDJ, spotify:artist:1YfEcTuGvBQ8xSD1f53UnK","The Pussycat Dolls, Busta Rhymes"
spotify:artist:3ha1Kg6tvNh4F4HBmXlMW7,The Dudley Moore Trio
spotify:artist:0isDnZYMWbwDz7hzw0XRjt,David Cassidy
spotify:artist:622HMYOaiqowUmcd5t3b7t,Dragon
spotify:artist:4Otx4bRLSfpah5kX8hdgDC,Naughty By Nature
spotify:artist:7K78lVZ8XzkjfRSI7570FF,José Feliciano
spotify:artist:1QAGLCom3FHTTiuRFsjzOj,Carla Thomas
spotify:artist:5GXruybcLmXPjR9rKKFyS6,Jimmy Smith
"spotify:artist:56oDRnqbIiwx4mymNEv7dS, spotify:artist:66CXWjxzNUsdJxJ2JdwvnR","Lizzo, Ariana Grande"
spotify:artist:2NhdGz9EDv2FeUw6udu2g1,The Wanted
spotify:artist:0gxyHStUsqpMadRV0Di1Qt,Rick Astley
spotify:artist:2auikkNYqigWStoHWK1Grq,John Martin
spotify:artist:3ybBNyjii40yY104IZkcly,Ernie K-Doe
spotify:artist:26PDtWYDJ1KD0brukKsJH1,Jennifer Paige
spotify:artist:4nDoRrQiYLoBzwC5BhVJzF,Camila Cabello
spotify:artist:5pUo3fmmHT8bhCyHE52hA6,Liam Payne
spotify:artist:5nSAh3wlH7VaqpnkiMjzDs,WSTRN
"spotify:artist:1bT7m67vi78r2oqvxrP3X5, spotify:artist:4b8dLpJgJpNQYzu4AtXLt3","Naughty Boy, RØMANS"
spotify:artist:24Wa5wIZIo1sPkzVGP0B5p,Pete Townshend
spotify:artist:5aYyPjAsLj7UzANzdupwnS,Good Charlotte
spotify:artist:4sTQVOfp9vEMCemLw50sbu,Galantis
spotify:artist:181bsRPaVXVlUKXrxwZfHK,Megan Thee Stallion
"spotify:artist:4pADjHPWyrlAF0FA7joK2H, spotify:artist:55Aa2cqylxrFIXC767Z865","Jay Sean, Lil Wayne"
"spotify:artist:5wwneIFdawNgQ7GvKK29Z3, spotify:artist:2P3cjUru4H3fhSXXNxE9kA","Lucas & Steve, Blackstreet"
spotify:artist:03r4iKL2g2442PT9n2UKsx,Beastie Boys
spotify:artist:3IUisqn0mluZR0LITs8Sqk,ICEHOUSE
spotify:artist:6olE6TJLqED3rqDCT0FyPh,Nirvana
spotify:artist:3UmfCgpdKzg2WTa6453o4E,Ol' 55
spotify:artist:23rleGXVOVVgTk3xgtmfE4,Gordon Lightfoot
spotify:artist:5v8jlSmAQfrkTjAlpUfWtu,Perry Como
spotify:artist:6dyxkRwYuTw6ezj1tjC2rY,Green Jelly
spotify:artist:0Yk7KdGevnSCqZgg9K8n6b,The Master's Apprentices
"spotify:artist:4xRYI6VqpkE3UwrDrAZL8L, spotify:artist:2wUjUUtkb5lvLKcGKsKqsR, spotify:artist:6LuN9FCkKOj5PcnpouEgny","Logic, Alessia Cara, Khalid"
spotify:artist:4ACplpEqD6JIVgKrafauzs,The Everly Brothers
"spotify:artist:5pKCCKE2ajJHZ9KAiaK11H, spotify:artist:3TVXtAsR1Inumwj472S9r4","Rihanna, Drake"
spotify:artist:5DHZNhnoDoZuzDQejFO7h6,The Rebels
"spotify:artist:1zNqDE7qDGCsyzJwohVaoX, spotify:artist:3e7awlrlDSwF3iM0WBjGMp","Anne-Marie, Little Mix"
"spotify:artist:7jmTilWYlKOuavFfmQAcu6, spotify:artist:4S9EykWXhStSc15wEx8QFK","Barbra Streisand, Céline Dion"
spotify:artist:0SwO7SWeDHJijQ3XNS7xEE,MGMT
spotify:artist:2QsynagSdAqZj3U9HgDzjD,Bob Marley & The Wailers
"spotify:artist:1l8Fu6IkuTP0U5QetQJ5Xt, spotify:artist:6PXS4YHDkKvl1wkIl4V8DL","Fifth Harmony, Fetty Wap"
spotify:artist:3oAbjWINfcTSAuVUlXXMty,Steve Forbert
spotify:artist:5ApKaVHAStk5kAuyBW1wG8,Yazz
"spotify:artist:085pc2PYOi8bGKj0PNjekA, spotify:artist:0hCNtLu0JehylgoiP8L4Gh","will.i.am, Nicki Minaj"
spotify:artist:3fq6r0bSIm4McymHKNMk4S,Hank Snow
"spotify:artist:5WVf5DCSYmK4JYD6vIcttw, spotify:artist:1C60viSZv6BoYtrnkZ44g5","iio, Nadia Ali"
spotify:artist:6etIM3JbzGPxTdfNWWfsVH,The McCoys
"spotify:artist:0TnOYISbd1XYRBk9myaseg, spotify:artist:7bXgB6jMjp9ATFy66eO08Z","Pitbull, Chris Brown"
spotify:artist:2luRh7SpSZXnyXw4MiObqJ,Jump Jump Dance Dance
spotify:artist:59hLmB5DrdihCYtNeFeW1U,Glen Campbell
spotify:artist:4f2WSqFHOISjWlyl9mYJJw,Jeanne Black
spotify:artist:1ffNa7yLg0ncUpBm5P03pm,Freddy Cannon
spotify:artist:57bUPid8xztkieZfS7OlEV,The Supremes
spotify:artist:4pJCawaKSZ40EnxN0YEYw3,Badfinger
"spotify:artist:73jBynjsVtofjRpdpRAJGk, spotify:artist:4ofCBoyEiGSePFAG500xev, spotify:artist:2HkAI0YrEcgoR8QdaURqhO","Dimitri Vegas & Like Mike, Regard, Dimitri Vegas"
"spotify:artist:4EzkuveR9pLvDVFNx6foYD, spotify:artist:0ZED1XzwlLHW4ZaG4lOT6m","James Bay, Julia Michaels"
spotify:artist:5PokPZn11xzZXyXSfnvIM3,Lifehouse
spotify:artist:2OHEv8cQ8d51jRGsC2KaAJ,"Love\, Marco"
spotify:artist:5tKXB9uuebKE34yowVaU3C,Iyaz
spotify:artist:42crL07E4WPfVovyUtMpvC,Robert DeLong
spotify:artist:7GaxyUddsPok8BuhxN6OUW,James Brown
spotify:artist:5sm0jQ1mq0dusiLtDJ2b4R,Eric Prydz
spotify:artist:3XsgWn63EnA4wYZBjVyxjf,Ugly Kid Joe
"spotify:artist:2FwJwEswyIUAljqgjNSHgP, spotify:artist:0bdfiayQAKewqEvaU6rXCv","Snakehips, MØ"
"spotify:artist:7k9T7lZlHjRAM1bb0r9Rm3, spotify:artist:6HD2mo0Gz8wd8IbOXYwUfN","Wiley, Daniel Merriweather"
"spotify:artist:4WN5naL3ofxrVBgFpguzKo, spotify:artist:4IWBUUAFIplrNtaOHcJPRM","Rudimental, James Arthur"
