Track URI,Track Name,Album URI
spotify:track:0R7YVi7w41Dr9jU5vblAok,Sweat - Remix,spotify:album:7i3ZUKLj6bszovw4IfRECy
spotify:track:0CsM8VGDi38kusMv3pxyj1,True - Single Edit,spotify:album:2ZcceaFPxi5CuqoBUfedKn
spotify:track:5TvFfDlVoUWZvfqrhTJzD7,One,spotify:album:1xn54DMo2qIqBuMqHtUsFd
spotify:track:6uBhi9gBXWjanegOb2Phh0,Stay,spotify:album:1I4W7JKzYbl8VKRfD61DIS
spotify:track:2Sy1KFLXBQjxqj6lCeIBCB,Oh My Goodness,spotify:album:2OvZ8JCShhvxNkptwoGjve
spotify:track:77TT8Xvx637TpzV8kKGkUw,Titanium (feat. Sia),spotify:album:08DAekBeqPRCsn3XHDwj6b
spotify:track:1zGzAMc21oKstWlEvXRp2i,Dream Girl,spotify:album:6itPRfFQncP30pMqNV7Pvh
spotify:track:0xdTHRkRv4sTrNikBNiz1u,View From a Bridge,spotify:album:6NPoxEiMqOpHZyymu1Begh
spotify:track:6nM9Sr6MPcfpqwQTD7PZGi,Wrapped Up (feat. Travie McCoy),spotify:album:0jD1tOJpP0Qz8UcLq3FFkr
spotify:track:45bE4HXI0AwGZXfZtMp8JR,you broke me first,spotify:album:1RWiRfdNZKDe8VXzzf2VEc
spotify:track:7DHjerIyPHNokLIQOmbo9b,Like It Like That,spotify:album:5mrXvDnW1MK275vDsplMIF
spotify:track:10SDxx0CFWGqgVVBeX22TP,No Pressure,spotify:album:7fZH0aUAjY3ay25obOUf2a
spotify:track:4du0TY3NTgvQGlelrBHfDL,I Wanna Be With You,spotify:album:4XbSwLzvznYCophbz8ElMV
spotify:track:6SLTPbDxDYR0uSMTT7gSb7,I'm In Control,spotify:album:6KuHbuDiJNcgEvnLTnfQcY
spotify:track:4Uc6BcPeBKfZUlX6jhumGv,Can't Remember to Forget You,spotify:album:3pIrfgAYjBpTBBKgtrwKgZ
spotify:track:7hJBjMGJHHQ4cR4Jhzp1d1,"It Ain't Me, Babe (with June Carter Cash)",spotify:album:4E2eUhFHqTG2pu9MN1NDIF
spotify:track:3tFECpGckFpp0HpQje78gi,Forever Young,spotify:album:7JgWdCGMBwJkYb91oiFzxd
spotify:track:12q3V8ShACq2PSWINMc2rC,It's Too Late,spotify:album:12n11cgnpjXKLeqrnIERoS
spotify:track:2M9ULmQwTaTGmAdXaXpfz5,Billionaire (feat. Bruno Mars),spotify:album:1PruwGvQDfgh6CTSFWPNtn
spotify:track:4MVA30NmvNtpbDon1ZG7mk,Star Wars Theme/Cantina Band,spotify:album:3RhVd2QtOoRhRGmCnptrOU
spotify:track:2qkaOiJ0XetajJUP6ThgMB,Jump In My Car,spotify:album:5HUtHxlUdzLohx6fadGfIE
spotify:track:6BnONjR7itGMEqwxKTIlRM,Safe And Sound,spotify:album:5ps3FwS0qGdRCvXop8q9vn
spotify:track:4Y2glvLjQGOb4dXnwm1hQf,Witchcraft,spotify:album:3XtEGVx9uh7J46nBzEc1VS
